image_id,score,gt_count,spam_count
000000223127,0.999314916623381,5,0
000000420007,0.9992697389604625,7,0
000000131133,0.9991484992009202,6,0
000000226472,0.9992998909591374,6,0
000000436685,0.9989721197355431,7,0
000000367518,0.8563805520865693,7,0
000000327029,0.7496270400817661,3,1
000000406489,0.9989946814764009,6,0
000000018641,0.9993964725783208,7,0
000000570548,0.9989648304829319,1,0
000000458175,0.999213743274813,5,0
000000382210,0.665490956742376,3,0
000000291526,0.9996897875794886,4,0
000000254989,0.9994731454827054,8,0
000000216789,0.9978631001710387,3,0
000000327702,0.9990000076793428,4,0
000000536412,0.9993573821454681,3,0
000000555108,0.9989919939298672,6,0
000000301427,0.9990798660834278,6,0
000000416778,0.9984623904376968,6,0
000000281674,0.9995293937189016,4,0
000000222280,0.9991156566920939,6,0
000000215077,0.9987782463043624,3,0
000000361648,0.9988561084777735,4,0
000000096463,0.8878256017136306,9,0
000000069325,0.9993089662837841,9,0
000000487948,0.9987346171374933,4,0
000000009091,0.9996602930347485,4,0
000000143085,0.9994005988118799,4,0
000000021972,0.9990742912228002,4,0
000000304250,0.9995077301638113,9,0
000000545191,0.9995534259668052,8,0
000000287210,0.9994899383357065,4,0
000000401251,0.9985311683804046,7,0
000000455614,0.9989203523957455,6,0
000000234535,0.9985403822904446,2,0
000000238700,0.9973677172307317,5,0
000000318185,0.9989644366482464,5,0
000000190415,0.6660778865166965,2,1
000000094132,0.7997735474139794,5,0
000000485894,0.9993745299685817,5,0
000000528142,0.9989126779528854,4,0
000000224891,0.9988008147011872,6,0
000000233925,0.9988954016342729,7,0
000000372136,0.9997072551066613,2,0
000000484313,0.9994294116683761,6,0
000000468773,0.9993266953001537,7,0
000000499166,0.999579555178684,6,0
000000486362,0.9991117813774913,7,0
000000551023,0.9987243275933552,6,0
000000033500,0.99912123244418,5,0
000000055514,0.9985661637521451,3,0
000000331453,0.9990747787345517,4,0
000000005483,0.9988939871127958,2,0
000000073280,0.9977700507542491,8,0
000000469832,0.9990982918596005,5,0
000000561382,0.998010883663603,4,0
000000578210,0.8562526977849713,7,0
000000395703,0.8174443206019958,11,0
000000115676,0.9990723319787781,5,0
000000068581,0.9993923166693599,4,0
000000043712,0.9995714727687712,5,0
000000084884,0.9990843225034913,4,0
000000201406,0.9851123756436467,4,0
000000065773,0.9993392603489621,5,0
000000272351,0.8561478180724909,7,0
000000107741,0.9992394727985859,3,0
000000528275,0.999237625686405,3,0
000000354298,0.9992188759986215,6,0
000000064599,0.9994592705348592,6,0
000000097311,0.832848546207654,6,0
000000571182,0.9994356676678141,5,0
000000548979,0.999132551478913,3,0
000000247668,0.9988512819076416,4,0
000000529804,0.8327920570604596,6,0
000000302260,0.9748545853321373,4,0
000000388026,0.9996426369229079,4,0
000000357587,0.9986376813386397,4,0
000000443533,0.999267398465121,6,0
000000242208,0.9993456916751611,3,0
000000564217,0.9992396775192408,6,0
000000045040,0.9985481398159514,7,0
000000013670,0.9990493865252591,4,0
000000158088,0.9993766641259016,7,0
000000020254,0.8326974707498809,6,0
000000015528,0.9969899724560958,2,0
000000203621,0.7980383752286737,5,0
000000279710,0.999203831884976,8,0
000000214705,0.9988403934341354,2,0
000000509948,0.99922039839285,4,0
000000530783,0.9992124323936245,4,0
000000389589,0.9995695456904132,8,0
000000352739,0.9986891671988717,5,0
000000032522,0.9989167560668119,8,0
000000358345,0.9987783495654537,7,0
000000293853,0.9993972214440102,6,0
000000264244,0.7988211728454007,5,0
000000334733,0.9991143253358541,7,0
000000488796,0.9995203840902774,6,0
000000030068,0.9992124229503513,8,0
000000510340,0.9993628552106655,2,0
000000143009,0.9990849207131335,6,0
000000462565,0.9987488535238689,6,0
000000316237,0.9987066059741783,8,0
000000283524,0.9995177432166161,3,0
000000047511,0.9995188957952031,5,0
000000400567,0.9989309071831033,4,0
000000558274,0.8564327028167193,7,0
000000383452,0.9996513226863228,2,0
000000126798,0.9992514069160473,4,0
000000338474,0.9994411422071664,6,0
000000108451,0.8992358565516234,9,1
000000390685,0.9984355735215684,5,0
000000015409,0.79942690543095,5,0
000000486805,0.998939110259303,8,0
000000101115,0.9994138397483399,5,0
000000564848,0.9993136696262511,4,0
000000015653,0.999104320895384,6,0
000000229827,0.9991717843019163,5,0
000000331747,0.9979638432343876,7,0
000000392443,0.9994584706090051,8,0
000000458160,0.9991654310352341,8,0
000000162213,0.9990091522304676,5,0
