image_id,score,gt_count,spam_count
000000223127,0.9992967431716779,5,0
000000420007,0.9995006811741892,7,0
000000131133,0.9991834691973566,6,0
000000226472,0.9994980432771259,6,0
000000436685,0.9994191505168672,7,0
000000367518,0.9990740275923636,7,0
000000327029,0.9996441147275433,3,0
000000406489,0.9991239757603836,6,0
000000018641,0.9994056059004203,7,0
000000570548,0.9998003676665754,1,0
000000458175,0.9987992102559314,5,0
000000382210,0.6658948479611425,3,0
000000291526,0.9996118267190046,4,0
000000254989,0.9994635427663492,8,0
000000216789,0.9985777284112225,3,0
000000327702,0.9991881920940515,4,0
000000536412,0.9993873480649856,3,0
000000555108,0.9989579108660037,6,0
000000301427,0.9992567961058851,6,0
000000416778,0.9988608201762196,6,0
000000281674,0.999542068497552,4,0
000000222280,0.9991025541388159,6,0
000000215077,0.9990680166210604,3,0
000000361648,0.9993134520446829,4,0
000000096463,0.8879446190255867,9,0
000000069325,0.999231183114768,9,0
000000487948,0.9989861960121941,4,0
000000009091,0.9996867465220994,4,0
000000143085,0.9995302231120179,4,0
000000021972,0.9989683357087868,4,0
000000304250,0.9991165992120215,9,0
000000545191,0.9995028148681367,8,0
000000287210,0.9993281101163577,4,0
000000401251,0.9992975784954173,7,0
000000455614,0.9989617967282594,6,0
000000234535,0.9992027086228112,2,0
000000238700,0.9971548226437654,5,0
000000318185,0.9992093539539091,5,0
000000190415,0.9996812484837833,2,0
000000094132,0.7997961123460217,5,0
000000485894,0.9987777158738422,5,0
000000528142,0.9990218644022958,4,0
000000224891,0.9991093301384294,6,0
000000233925,0.9989458380684428,7,0
000000372136,0.9997072551066613,2,0
000000484313,0.9995929102453883,6,0
000000468773,0.9993573906653177,7,0
000000499166,0.9994110497691672,6,0
000000486362,0.9993575540799933,7,0
000000551023,0.9987831040379015,6,0
000000033500,0.9995193964793498,5,0
000000055514,0.9984282029218674,3,0
000000331453,0.9992988634790232,4,0
000000005483,0.9991713497540019,2,0
000000073280,0.9980475405158241,8,0
000000469832,0.9992338811683539,5,0
000000561382,0.9989824688205555,4,0
000000578210,0.8563994626137023,7,0
000000395703,0.8174874017778385,11,0
000000115676,0.9995436197662839,5,0
000000068581,0.9995237459647808,4,0
000000043712,0.999575005922598,5,0
000000084884,0.9992194029852542,4,0
000000201406,0.9979018298648243,4,0
000000065773,0.9994384659643956,5,0
000000272351,0.8561954074325595,7,0
000000107741,0.999193933135731,3,0
000000528275,0.9978878310724832,3,0
000000354298,0.9994820228766526,6,0
000000064599,0.9995913986815231,6,0
000000097311,0.8328491689679655,6,0
000000571182,0.9990866782080638,5,0
000000548979,0.9996392429746002,3,0
000000247668,0.9986567231581027,4,0
000000529804,0.8329219475976414,6,0
000000302260,0.9746002204062927,4,0
000000388026,0.9993339905435498,4,0
000000357587,0.9986553330978879,4,0
000000443533,0.9995462261380962,6,0
000000242208,0.998891877676174,3,0
000000564217,0.9993393962511274,6,0
000000045040,0.998782870987635,7,0
000000013670,0.9991589925460465,4,0
000000158088,0.9995022343430182,7,0
000000020254,0.9987120014735597,6,0
000000015528,0.9992628397597236,2,0
000000203621,0.7983774227203412,5,0
000000279710,0.9994044085396603,8,0
000000214705,0.9982528744099148,2,0
000000509948,0.9992031224776596,4,0
000000530783,0.9990119020888956,4,0
000000389589,0.999539251220224,8,0
000000352739,0.9985215672728529,5,0
000000032522,0.9971521135661015,8,0
000000358345,0.9987642361769513,7,0
000000293853,0.9994453914450648,6,0
000000264244,0.7992366011229582,5,0
000000334733,0.999210564177918,7,0
000000488796,0.9992159929198902,6,0
000000030068,0.9993914318429749,8,0
000000510340,0.999367007927384,2,0
000000143009,0.9991254238114008,6,0
000000462565,0.9985177085929845,6,0
000000316237,0.9988938035209963,8,0
000000283524,0.9989905614116305,3,0
000000047511,0.9994052416297784,5,0
000000400567,0.9982861983176068,4,0
000000558274,0.856330628799762,7,0
000000383452,0.9996513226863228,2,0
000000126798,0.9994821639675543,4,0
000000338474,0.9995229695850423,6,0
000000108451,0.9992541363959967,9,0
000000390685,0.998971151130658,5,0
000000015409,0.7995244013788232,5,0
000000486805,0.9991563150295406,8,0
000000101115,0.9994789723514435,5,0
000000564848,0.9994362061207673,4,0
000000015653,0.9989990975150702,6,0
000000229827,0.9991231348996188,5,0
000000331747,0.9972695915665897,7,0
000000392443,0.9994846090427879,8,0
000000458160,0.999353489900089,8,0
000000162213,0.9987086403018722,5,0
000000293242,0.9996212057069765,5,0
000000116413,0.9987778776864373,4,0
000000403389,0.999399117244547,4,0
000000191972,0.9994322863079216,5,0
000000209915,0.9991558939921762,6,0
000000554556,0.9996063780298486,5,0
000000221513,0.999456971443129,5,0
000000045633,0.9990243980141427,4,0
000000151611,0.9994268855295466,4,0
000000470988,0.9986261701962695,5,0
000000274839,0.9987683804912388,8,0
000000366712,0.9996397192070635,2,0
000000473199,0.9990332178852852,2,0
000000371927,0.9989521164477282,5,0
000000295328,0.9998288999678426,4,0
000000448705,0.9945776083486896,5,0
000000566214,0.9991574653171028,5,0
000000432161,0.7495509387321944,4,0
000000006539,0.9993011357126594,4,0
000000361766,0.9996099900409877,4,0
000000535795,0.9992195334553711,4,0
000000562037,0.7496406303799164,4,0
000000076937,0.9995196761165676,3,0
000000547284,0.9995789874338669,7,0
000000355578,0.9996131514247646,5,0
000000425484,0.7994978513154412,5,0
000000077814,0.9996823788329886,3,0
000000383622,0.9990952237828736,3,0
000000352498,0.9993964384340165,7,0
000000201010,0.7136608705177042,7,0
000000562101,0.9986083801025986,6,0
000000177652,0.9986063978138734,4,0
000000140667,0.9995759662852016,7,0
000000311501,0.9993105285834153,6,0
000000449345,0.9991683947257783,5,0
000000354544,0.9962680133585542,5,0
000000471109,0.9997228999658533,3,0
000000424533,0.9994224916735529,5,0
000000004442,0.7493745130704959,4,0
000000336492,0.9990587738259286,7,0
000000145048,0.9994686807290604,6,0
000000491505,0.7495274805431329,4,0
000000529667,0.9995476268306622,8,0
000000530396,0.9991410036993037,6,0
000000576082,0.9986986979997907,5,0
000000315428,0.9990670571663733,7,0
000000224777,0.9992858771574326,3,0
000000435272,0.9993265537240916,5,0
000000480676,0.9991455575664435,5,0
000000471322,0.9997781153710128,2,0
000000489799,0.9990912494464221,4,0
000000458058,0.9995462191819214,8,0
000000039643,0.99877569480039,4,0
000000151265,0.874461033699716,8,0
000000440614,0.8299172005586977,6,0
000000068688,0.9991903456196497,3,0
000000548538,0.9989493599978262,5,0
000000347217,0.997848060125861,1,0
000000478457,0.8745193083442204,8,0
000000270316,0.9996844162652234,4,0
000000391410,0.9993783386679975,2,0
000000556660,0.9996720147105758,2,0
000000079824,0.9992350150571253,4,0
000000045016,0.9990108080125406,8,0
000000075906,0.9992196553208013,5,0
